CODE,CODE_ORIG,CODE_DESCRIPTION
E11.9,E11.9,Type 2 diabetes mellitus without complications
I10,I10,Essential hypertension
E78.5,E78.5,"Hyperlipidemia, unspecified"
J45.909,J45.909,"Unspecified asthma, uncomplicated"
M06.9,M06.9,"Rheumatoid arthritis, unspecified"
C50.919,C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C34.90,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
I50.9,I50.9,"Heart failure, unspecified"
N18.9,N18.9,"Chronic kidney disease, unspecified"
G89.3,G89.3,Neoplasm related pain
K21.9,K21.9,Gastro-esophageal reflux disease without esophagitis
F41.9,F41.9,"Anxiety disorder, unspecified"
