condition,population,population_definition,measure,prevalence,survey_period,estimate_type,age_adjustment_status,table_or_figure,publication_title,publication_series,publication_number,source_url,retrieval_date,data_source,source_mode,schema_version,retrieved_at_utc
diabetes,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,diagnosed prevalence,0.113,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 1,"Prevalence of Total, Diagnosed, and Undiagnosed Diabetes in Adults: United States, August 2021-August 2023",NCHS Data Brief,516,https://www.cdc.gov/nchs/products/databriefs/db516.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
diabetes,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,total prevalence,0.158,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 1,"Prevalence of Total, Diagnosed, and Undiagnosed Diabetes in Adults: United States, August 2021-August 2023",NCHS Data Brief,516,https://www.cdc.gov/nchs/products/databriefs/db516.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
diabetes,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,undiagnosed prevalence,0.045,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 1,"Prevalence of Total, Diagnosed, and Undiagnosed Diabetes in Adults: United States, August 2021-August 2023",NCHS Data Brief,516,https://www.cdc.gov/nchs/products/databriefs/db516.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
hypertension,adults age 18+,U.S. civilian noninstitutionalized adults age 18 and older,prevalence,0.477,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 1,"Prevalence and Control of Hypertension Among Adults: United States, August 2021-August 2023",NCHS Data Brief,511,https://www.cdc.gov/nchs/products/databriefs/db511.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
hypertension,adults age 18+ with hypertension,U.S. civilian noninstitutionalized adults age 18 and older with hypertension,controlled prevalence,0.207,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 4,"Prevalence and Control of Hypertension Among Adults: United States, August 2021-August 2023",NCHS Data Brief,511,https://www.cdc.gov/nchs/products/databriefs/db511.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
hyperlipidemia,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,high total cholesterol prevalence,0.113,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 1,"Total and High-density Lipoprotein Cholesterol in Adults: United States, August 2021-August 2023",NCHS Data Brief,515,https://www.cdc.gov/nchs/products/databriefs/db515.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
hyperlipidemia,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,low HDL prevalence,0.138,August 2021-August 2023,crude prevalence,not age-adjusted,Figure 2,"Total and High-density Lipoprotein Cholesterol in Adults: United States, August 2021-August 2023",NCHS Data Brief,515,https://www.cdc.gov/nchs/products/databriefs/db515.htm,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
obesity,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,prevalence,0.419,2017-March 2020,age-adjusted prevalence,age-adjusted to the 2000 U.S. standard population,Table 5,"Trends in Obesity and Severe Obesity Prevalence in US Youth and Adults by Sex and Age, 2007-2008 to 2017-March 2020",National Health Statistics Reports,158,https://www.cdc.gov/nchs/data/nhsr/nhsr158-508.pdf,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
severe_obesity,adults age 20+,U.S. civilian noninstitutionalized adults age 20 and older,prevalence,0.092,2017-March 2020,age-adjusted prevalence,age-adjusted to the 2000 U.S. standard population,Table 6,"Trends in Obesity and Severe Obesity Prevalence in US Youth and Adults by Sex and Age, 2007-2008 to 2017-March 2020",National Health Statistics Reports,158,https://www.cdc.gov/nchs/data/nhsr/nhsr158-508.pdf,2026-06-11,official published prevalence anchor,curated_static,2026-06-11,2026-06-17T06:25:03+00:00
